name,type,x,y,width,height
Wall,Obstacle,0,1,49,602
Ground,Obstacle,49,537,849,46
Wall 2,Obstacle,851,1,48,551
Spawn Point,Spawn,97,491,28,29
Platform 1,Obstacle,50,440,60,29
Coin 1,Coin,71,395,20,20
Platform 2,Obstacle,393,351,179,35
Shooter 1,Shooter,451,272,62,80
Platform 3,Obstacle,627,448,227,34
Coin 2,Coin,739,410,20,20
PLatform 4,Obstacle,738,349,115,36
Coin 3,Coin,788,313,20,20
Chaser 1,Chaser,485,458,60,81
Platform End,Obstacle,49,160,126,37
Portal to Level 3,Portal,67,89,54,58
Platform 68,Obstacle,218,271,138,42
Platform 69,Obstacle,130,221,125,34
